Restructuring_ID,Employee_ID,Department,Position,Decision_Date,Effective_Date,Business_Reason,Selection_Criteria,Protected_Attribute_Used,Separation_Benefit_BDT,Estimated_Annual_Cost_Saving_BDT,Critical_Knowledge_Risk,Knowledge_Transfer_Completed,Rehire_Eligible,Ethical_Review_Status
RST-022,SG-25006072105,Supply Chain and Planning,Supply Chain Analyst,2026-02-08,2026-02-18,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,139000,1105920,Low,Yes,Yes,Reviewed
RST-023,SG-21027092011,Smartwatch Production,Production Line Leader,2026-02-14,2026-02-25,Position removed in cost reset,"Role need, documented skill match, performance evidence and legal review",No,64500,634080,Low,No,Yes,Reviewed
RST-024,SG-21020121817,Smartwatch Production,SMT Line Technician,2026-02-19,2026-02-28,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,59000,459120,High,Yes,No,Reviewed
RST-025,SG-31002112302,Administration and Security,Transport Coordinator,2026-02-15,2026-03-05,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,44250,447120,Low,Yes,No,Reviewed
RST-026,SG-21012042207,Smartwatch Production,Assembly Operator,2026-02-06,2026-02-23,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,26250,271200,Medium,Yes,Yes,Reviewed
RST-027,SG-27008102203,Finance and Accounts,Costing Analyst,2026-02-12,2026-02-22,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,98000,775440,Low,Yes,Yes,Reviewed
RST-028,SG-21014031912,Smartwatch Production,Production Line Leader,2026-02-09,2026-02-26,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,40000,597600,Medium,Yes,Yes,Reviewed
RST-029,SG-12705041803,Human Resources and People,People Analytics Analyst,2026-02-15,2026-03-05,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,92250,967440,Low,Yes,Yes,Reviewed
RST-030,SG-21023011902,Smartwatch Production,Production Line Leader,2026-01-29,2026-02-08,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,42000,642720,Low,Yes,Yes,Reviewed
RST-031,SG-21007012306,Smartwatch Production,Production Supervisor,2026-02-01,2026-02-16,Position removed in cost reset,"Role need, documented skill match, performance evidence and legal review",No,92000,696960,Medium,Yes,Yes,Reviewed
RST-032,SG-21007011845,Smartwatch Production,Assembly Operator,2026-02-14,2026-02-25,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,20000,292800,Low,Yes,No,Reviewed
RST-033,SG-21029042543,Smartwatch Production,Assembly Operator,2026-02-20,2026-03-10,Manual role replaced by redesigned process,"Role need, documented skill match, performance evidence and legal review",No,32250,336240,Medium,Yes,No,Reviewed
RST-034,SG-21026071916,Smartwatch Production,Precision Assembly Technician,2026-02-04,2026-02-21,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,54000,409920,Medium,Yes,Yes,Reviewed
RST-035,SG-29023062202,Sales Distribution and Service,Warranty Analyst,2026-02-09,2026-02-20,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,49000,715440,Medium,No,Yes,Reviewed
RST-036,SG-21004112432,Smartwatch Production,Production Supervisor,2026-01-18,2026-02-05,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,53000,833280,Low,No,Yes,Reviewed
RST-037,SG-30001092002,EHS and Regulatory Compliance,EHS Officer,2026-02-10,2026-02-17,Position removed in cost reset,"Role need, documented skill match, performance evidence and legal review",No,61500,593760,Medium,Yes,No,Reviewed
RST-038,SG-26014051901,Procurement,Procurement Officer,2026-02-08,2026-02-16,Position removed in cost reset,"Role need, documented skill match, performance evidence and legal review",No,48000,483120,Low,Yes,Yes,Reviewed
RST-039,SG-21028021825,Smartwatch Production,Assembly Operator,2026-02-18,2026-03-08,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,19000,281040,Medium,Yes,Yes,Reviewed
RST-040,SG-21030102342,Smartwatch Production,SMT Line Technician,2026-01-28,2026-02-13,Position removed in cost reset,"Role need, documented skill match, performance evidence and legal review",No,50000,399600,Medium,Yes,Yes,Reviewed
RST-041,SG-29010112404,Sales Distribution and Service,Warranty Analyst,2026-01-28,2026-02-08,Position removed in cost reset,"Role need, documented skill match, performance evidence and legal review",No,98000,707040,Medium,Yes,No,Reviewed
RST-042,SG-27024112004,Finance and Accounts,Accounts Officer,2026-03-02,2026-03-10,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,67500,709200,Medium,Yes,Yes,Reviewed
RST-043,SG-21015012424,Smartwatch Production,Assembly Operator,2026-01-28,2026-02-09,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,37000,274560,Medium,No,Yes,Reviewed
RST-044,SG-21014112418,Smartwatch Production,Production Line Leader,2026-01-30,2026-02-11,Position removed in cost reset,"Role need, documented skill match, performance evidence and legal review",No,34500,531120,Low,Yes,Yes,Reviewed
RST-045,SG-21017092019,Smartwatch Production,Assembly Operator,2026-02-04,2026-02-12,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,20000,307200,High,Yes,Yes,Reviewed
RST-046,SG-12720082301,Human Resources and People,Talent Acquisition Executive,2026-02-06,2026-02-23,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,78000,615840,Medium,Yes,Yes,Reviewed
RST-047,SG-22008082406,Quality Assurance,Quality Inspector,2026-02-23,2026-03-06,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,23000,365280,High,Yes,Yes,Reviewed
RST-048,SG-30018031801,EHS and Regulatory Compliance,Regulatory Affairs Specialist,2026-01-30,2026-02-12,Manual role replaced by redesigned process,"Role need, documented skill match, performance evidence and legal review",No,48000,738480,High,Yes,Yes,Reviewed
